[09:01:40] [INFO] received Windows console close event; shutting log-core down
[09:19:05] [INFO] received Windows console close event; shutting log-core down
[09:27:34] [INFO] received Windows console close event; shutting log-core down
[09:27:42] [INFO] received Windows console close event; shutting log-core down
[15:43:36] [INFO] received Windows console close event; shutting log-core down
[16:05:15] [INFO] received Windows console close event; shutting log-core down
[16:12:12] [INFO] received Windows console close event; shutting log-core down
[16:16:08] [INFO] received Windows console close event; shutting log-core down
[16:20:55] [INFO] received Windows console close event; shutting log-core down
[16:28:17] [INFO] received Windows console close event; shutting log-core down
[16:40:03] [INFO] received Windows console close event; shutting log-core down
[16:44:38] [INFO] received Windows console close event; shutting log-core down
[16:50:30] [INFO] received Windows console close event; shutting log-core down
[16:55:00] [INFO] received Windows console close event; shutting log-core down
[17:11:27] [INFO] received Windows console close event; shutting log-core down
[17:25:02] [INFO] received Windows console close event; shutting log-core down
[17:31:59] [INFO] received Windows console close event; shutting log-core down
[17:36:27] [INFO] received Windows console close event; shutting log-core down
[17:54:59] [INFO] received Windows console close event; shutting log-core down
[18:14:18] [INFO] received Windows console close event; shutting log-core down
[18:20:14] [INFO] received Windows console close event; shutting log-core down
[18:25:52] [INFO] received Windows console close event; shutting log-core down
[18:31:41] [INFO] received Windows console close event; shutting log-core down
[18:40:42] [INFO] received Windows console close event; shutting log-core down
[13:41:34] [INFO] received Windows console close event; shutting log-core down
[14:01:40] [INFO] received Windows console close event; shutting log-core down
[14:16:28] [INFO] received Windows console close event; shutting log-core down
[14:40:36] [INFO] received Windows console close event; shutting log-core down
[14:51:59] [INFO] received Windows console close event; shutting log-core down
[15:28:28] [INFO] received Windows console close event; shutting log-core down
[15:30:52] [INFO] received Windows console close event; shutting log-core down
[16:52:43] [INFO] received Windows console close event; shutting log-core down
[17:02:44] [INFO] received Windows console close event; shutting log-core down
[18:07:19] [INFO] received Windows console close event; shutting log-core down
[18:09:24] [INFO] received Windows console close event; shutting log-core down
[18:17:07] [INFO] received Windows console close event; shutting log-core down
[18:17:11] [INFO] received Windows console close event; shutting log-core down
[19:09:41] [INFO] received Windows console close event; shutting log-core down
[19:25:17] [INFO] received Windows console close event; shutting log-core down
[19:26:51] [INFO] received Windows console close event; shutting log-core down
[07:42:04] [INFO] received Windows console close event; shutting log-core down
[08:19:47] [INFO] received Windows console close event; shutting log-core down
[12:33:28] [INFO] received Windows console close event; shutting log-core down
[12:36:54] [INFO] received Windows console close event; shutting log-core down
[13:31:24] [INFO] received Windows console close event; shutting log-core down
[13:35:19] [INFO] received Windows console close event; shutting log-core down
[13:42:40] [INFO] received Windows console close event; shutting log-core down
[13:50:23] [INFO] received Windows console close event; shutting log-core down
[14:08:45] [INFO] received Windows console close event; shutting log-core down
[14:13:23] [INFO] received Windows console close event; shutting log-core down
[14:25:16] [INFO] received Windows console close event; shutting log-core down
[14:35:09] [INFO] received Windows console close event; shutting log-core down
[14:52:00] [INFO] received Windows console close event; shutting log-core down
[15:09:58] [INFO] received Windows console close event; shutting log-core down
[15:34:07] [INFO] received Windows console close event; shutting log-core down
[15:47:04] [INFO] received Windows console close event; shutting log-core down
[15:56:03] [INFO] received Windows console close event; shutting log-core down
[16:01:20] [INFO] received Windows console close event; shutting log-core down
[16:02:52] [INFO] received Windows console close event; shutting log-core down
[16:05:15] [INFO] received Windows console close event; shutting log-core down
[16:06:37] [INFO] received Windows console close event; shutting log-core down
[17:49:13] [INFO] received Windows console close event; shutting log-core down
[17:58:16] [INFO] received Windows console close event; shutting log-core down
[17:58:22] [INFO] received Windows console close event; shutting log-core down
[17:59:12] [INFO] received Windows console close event; shutting log-core down
[18:35:38] [INFO] received Windows console close event; shutting log-core down
[19:30:33] [INFO] received Windows console close event; shutting log-core down
[19:34:55] [INFO] received Windows console close event; shutting log-core down
[19:44:16] [INFO] received Windows console close event; shutting log-core down
[20:05:32] [INFO] received Windows console close event; shutting log-core down
[20:09:41] [INFO] received Windows console close event; shutting log-core down
[20:17:40] [INFO] received Windows console close event; shutting log-core down
[20:28:24] [INFO] received Windows console close event; shutting log-core down
[20:32:53] [INFO] received Windows console close event; shutting log-core down
[09:08:45] [INFO] received Windows console close event; shutting log-core down
[09:33:43] [INFO] received Windows console close event; shutting log-core down
[09:39:51] [INFO] received Windows console close event; shutting log-core down
[09:50:35] [INFO] received Windows console close event; shutting log-core down
[09:50:53] [INFO] received Windows console close event; shutting log-core down
[10:00:14] [INFO] received Windows console close event; shutting log-core down
[10:09:49] [INFO] received Windows console close event; shutting log-core down
[11:17:24] [INFO] received Windows console close event; shutting log-core down
[11:17:32] [INFO] received Windows console close event; shutting log-core down
[11:54:56] [INFO] received Windows console close event; shutting log-core down
